Altium Designer Pick and Place Locations
C:\Users\bocal\Downloads\POP_Altium\Project Outputs for POP\Pick and Place\Pick_and_Place.csv

========================================================================================================================
File Design Information:

Date:       29/06/18
Time:       09:00
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Footprint","Center-X(mil)","Center-Y(mil)","Ref-X(mil)","Ref-Y(mil)","Pad-X(mil)","Pad-Y(mil)","Layer","Rotation","Comment"
"R32","RESC1608X55N","736.221mil","721.457mil","736.221mil","721.457mil","736.221mil","754.921mil","BottomLayer","270","50k"
"R31","RESC1608X55N","1121.063mil","410.433mil","1121.063mil","410.433mil","1121.063mil","443.898mil","BottomLayer","270","50k"
"R30","RESC1608X55N","1367.126mil","620.079mil","1367.126mil","620.079mil","1400.591mil","620.079mil","BottomLayer","180","50k"
"C27","CAPC1608X90N","1241.142mil","55.118mil","1241.142mil","55.118mil","1207.677mil","55.118mil","BottomLayer","360","0.01uF"
"C26","CAPC1608X90N","988.189mil","264.764mil","988.189mil","264.764mil","988.189mil","298.228mil","BottomLayer","270","0.01uF"
"C25","CAPC1608X90N","1157.480mil","688.976mil","1157.480mil","688.976mil","1124.016mil","688.976mil","BottomLayer","0","0.01uF"
"R10","RESC1608X55N","1676.248mil","2870.079mil","1676.248mil","2870.079mil","1676.248mil","2836.614mil","TopLayer","90","50k"
"R9","RESC1608X55N","270.669mil","3575.787mil","270.669mil","3575.787mil","270.669mil","3542.323mil","BottomLayer","90","50k"
"R22","RESC1608X55N","2281.496mil","3143.701mil","2281.496mil","3143.701mil","2248.032mil","3143.701mil","TopLayer","360","10k"
"A1","TCRT5000","1143.701mil","3703.740mil","1181.102mil","3714.567mil","1072.835mil","3664.567mil","TopLayer","360","PHOTO_DIODE"
"C1","CAPC1608X90N","391.732mil","1210.630mil","391.732mil","1210.630mil","425.197mil","1210.630mil","TopLayer","180","22uF"
"C2","CAPC1608X90N","392.716mil","1298.228mil","392.716mil","1298.228mil","426.181mil","1298.228mil","TopLayer","180","22uF"
"C3","CAPC1608X90N","155.512mil","1024.606mil","155.512mil","1024.606mil","122.047mil","1024.606mil","TopLayer","360","8.2nF"
"C4","CAPC1608X90N","517.716mil","669.291mil","517.716mil","669.291mil","517.716mil","635.827mil","TopLayer","90","100nF"
